diff_window_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
55,0.0201419999999999,-0.018066,0.0010186699999999,0.052246,-0.062378,-0.00498719,0.041748,-0.0495609999999999,-0.001697395,2.563476,-3.78418,-0.07446288,2.685548,-2.563477,0.19165039,2.868653,-3.66211,-0.211486835,riding
56,0.0201419999999999,-0.018066,0.0010534949999999,0.052246,-0.0549319999999999,-0.0030706899999999,0.041748,-0.0495609999999999,-0.00219849,2.563476,-2.746582,-0.08636476,2.685548,-3.41797,0.050353995,3.723146,-2.380371,0.13336183,riding
57,0.0201419999999999,-0.0246589999999999,0.0006244049999999,0.052246,-0.053833,-0.0006720149999999,0.0601809999999999,-0.0499259999999999,-0.0012915,3.112793,-2.502442,0.0408935449999999,2.685548,-4.150392,-0.233459445,3.723146,-2.380371,0.10772707,riding
58,0.0225839999999999,-0.0330809999999999,-0.0010497949999999,0.0471189999999999,-0.050415,0.00151977,0.082031,-0.053955,0.00246338,3.41797,-2.685546,0.0521850549999999,3.601074,-4.150392,-0.0717163299999999,3.723146,-2.258302,0.201721165,riding
59,0.0225839999999999,-0.0330809999999999,-0.0020898399999999,0.0471189999999999,-0.063477,0.003886705,0.082031,-0.053955,0.004677725,3.41797,-2.685546,0.074157705,3.601074,-4.150392,-0.151367195,3.723146,-2.136231,-0.0079345849999999,riding
60,0.0225839999999999,-0.0330809999999999,-0.0015020849999999,0.0350339999999999,-0.063477,-2.5024999999999907e-05,0.082031,-0.053955,0.00405455,3.41797,-2.685546,0.0469970649999999,3.601074,-4.150392,-0.01342775,1.831055,-2.136231,-0.0067138849999999,riding
61,0.0225839999999999,-0.0330809999999999,-0.0029754699999999,0.057495,-0.063477,0.00453492,0.082031,-0.053955,0.007279035,3.41797,-2.746582,-0.0582885549999999,4.272462,-5.065918,0.0845336899999999,3.234863,-2.136231,0.09918213,riding
62,0.0176999999999999,-0.03003,-0.000844115,0.057495,-0.063477,0.003363635,0.072265,-0.0491939999999999,0.0021661299999999,2.258301,-2.746582,-0.103759765,4.272462,-5.065918,0.0820923149999999,3.234863,-2.258301,-0.0122070099999999,riding
63,0.0176999999999999,-0.03003,-0.0007171499999999,0.057495,-0.0369869999999999,0.004060075,0.072265,-0.0491939999999999,0.001546635,2.258301,-2.746582,0.028381355,4.272462,-5.065918,-0.06744384,3.234863,-2.258301,0.0369263,riding
64,0.0176999999999999,-0.03003,-0.000963755,0.057495,-0.0369869999999999,0.00358276,0.072265,-0.0491939999999999,0.0021057199999999,2.258301,-2.746582,0.013732905,4.272462,-5.065918,0.011901865,3.234863,-2.258301,-0.0683593549999999,riding
